539 21*a-14 [3, -1, -1, '?', '?', '?', -6, 3, -1, 8, -4, -4, 5, -4, 5, -1, -11, -2, -8, 10, -13, 14, -9, 6]
539 21*a-7 [-3, 2, 2, '?', '?', '?', 6, 6, 2, 2, 8, -10, 8, -10, 8, 2, 4, -14, -8, -8, -4, -4, 12, 0]
539 21*a-14 [0, 5, -4, '?', '?', '?', 0, 0, 5, 5, 2, 2, 2, 2, -10, -10, -8, -8, -8, -8, 5, 5, 0, 0]
539 21*a-7 [0, 5, -4, '?', '?', '?', 0, 0, 5, 5, 2, 2, 2, 2, -10, -10, -8, -8, -8, -8, 5, 5, 0, 0]
539 21*a-14 [-3, 2, 2, '?', '?', '?', 6, 6, 2, 2, -10, 8, -10, 8, 2, 8, -14, 4, -8, -8, -4, -4, 0, 12]
539 21*a-7 [3, -1, -1, '?', '?', '?', 3, -6, 8, -1, -4, -4, -4, 5, -1, 5, -2, -11, 10, -8, 14, -13, 6, -9]
545 21*a-8 [1, 2, '?', 2, 0, 2, 6, 0, 2, 2, -8, -4, 2, -2, 6, 0, 2, 2, -2, -10, -14, -8, -6, 2]
545 -21*a+13 [1, 2, '?', 2, 2, 0, 0, 6, 2, 2, -4, -8, -2, 2, 0, 6, 2, 2, -10, -2, -8, -14, 2, -6]
549 21*a-12 [3, '?', -1, 3, -3, 3, -2, 7, -6, 1, 3, -5, -2, 6, 6, -14, '?', '?', -8, -5, 14, 0, -1, -10]
549 21*a-9 [3, '?', -1, 3, 3, -3, 7, -2, 1, -6, -5, 3, 6, -2, -14, 6, '?', '?', -5, -8, 0, 14, -10, -1]
576 24 ['?', '?', -4, 10, 2, 2, 0, 0, 0, 0, -8, -8, 2, 2, -10, -10, 2, 2, 12, 12, 0, 0, 10, 10]
576 24 ['?', '?', 2, -2, -4, -4, 0, 0, 6, 6, 4, 4, -10, -10, -4, -4, 2, 2, 0, 0, 12, 12, 10, 10]
576 24 ['?', '?', -2, 10, -4, -4, 4, 4, -2, -2, 0, 0, 2, 2, 12, 12, -10, -10, 8, 8, -16, -16, -6, -6]
580 22*a-6 ['?', 3, '?', -4, 1, -4, 2, 7, '?', '?', -10, 3, -12, -5, 6, -14, 10, 13, 2, -6, -14, -7, 7, -18]
580 22*a-16 ['?', 3, '?', -4, -4, 1, 7, 2, '?', '?', 3, -10, -5, -12, -14, 6, 13, 10, -6, 2, -7, -14, -18, 7]
580 22*a-16 ['?', 1, '?', -4, -3, -6, -4, 5, '?', '?', 5, 2, -9, 0, 12, -9, -4, 5, 12, -6, -4, 2, -6, 15]
580 22*a-6 ['?', -4, '?', 1, -2, 5, -8, -1, '?', '?', -3, 4, 0, -7, 4, 4, -8, 6, 16, 9, 10, -11, -8, -1]
580 22*a-16 ['?', -6, '?', 2, -4, 4, 4, -4, '?', '?', 0, 8, 10, -6, 4, -12, -2, -2, 0, -16, 8, 16, -6, 10]
580 22*a-16 ['?', 0, '?', 5, -3, 2, -5, 0, '?', '?', -8, 7, -3, 12, 0, 0, 2, 12, 7, -8, -5, -10, 15, 0]
580 22*a-6 ['?', 0, '?', 5, 2, -3, 0, -5, '?', '?', 7, -8, 12, -3, 0, 0, 12, 2, -8, 7, -10, -5, 0, 15]
580 22*a-6 ['?', 3, '?', 8, -2, 5, -1, -8, '?', '?', -10, -3, 0, 7, -3, 4, 13, -8, 2, -12, 10, -4, 13, 6]
580 22*a-16 ['?', 3, '?', 8, 5, -2, -8, -1, '?', '?', -3, -10, 7, 0, 4, -3, -8, 13, -12, 2, -4, 10, 6, 13]
580 22*a-6 ['?', -6, '?', 2, 4, -4, -4, 4, '?', '?', 8, 0, -6, 10, -12, 4, -2, -2, -16, 0, 16, 8, 10, -6]
580 22*a-16 ['?', -4, '?', 1, 5, -2, -1, -8, '?', '?', 4, -3, -7, 0, 4, 4, 6, -8, 9, 16, -11, 10, -1, -8]
580 22*a-6 ['?', 1, '?', -4, -6, -3, 5, -4, '?', '?', 2, 5, 0, -9, -9, 12, 5, -4, -6, 12, 2, -4, 15, -6]
589 22*a-7 [-3, 2, -2, 2, -4, 4, '?', '?', -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
589 -3*a-23 [-3, 2, -2, 2, -4, 4, '?', '?', -2, -2, '?', '?', -6, -6, -4, 12, -2, 6, 0, -8, 16, 0, -6, 10]
589 3*a-26 [-3, 2, -2, 2, 4, -4, '?', '?', -2, -2, '?', '?', -6, -6, 12, -4, 6, -2, -8, 0, 0, 16, 10, -6]
605 22*a-11 [0, -5, '?', -10, '?', '?', 0, 0, 0, 0, 7, 7, -8, -8, 5, 5, 12, 12, -3, -3, -10, -10, 15, 15]
605 4*a+23 [-1, -2, '?', 14, '?', '?', -4, 8, 6, -6, -4, 8, 6, -6, 0, -12, 2, -10, 0, 0, 8, -4, 6, -18]
605 22*a-11 [-1, -2, '?', 14, '?', '?', -4, 8, 6, -6, -4, 8, 6, -6, 0, -12, 2, -10, 0, 0, 8, -4, 6, -18]
605 4*a+23 [1, -2, '?', -14, '?', '?', 4, 8, 6, 6, 4, -8, -6, -6, 0, -12, -2, -10, 0, 0, -8, -4, -6, 18]
605 -4*a+27 [1, -2, '?', -14, '?', '?', 8, 4, 6, 6, -8, 4, -6, -6, -12, 0, -10, -2, 0, 0, -4, -8, 18, -6]
605 -4*a+27 [-1, -2, '?', 14, '?', '?', 8, -4, -6, 6, 8, -4, -6, 6, -12, 0, -10, 2, 0, 0, -4, 8, -18, 6]
