Data for fields of degree 3, prime conductor < 10000 with curve 42a1
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
42a1                 9                    9.0000               9.0000               5407                 3
42a1                 225                  225.0000             14400.0000           5413                 3
42a1                 169                  169.0000             10816.0000           5419                 3
42a1                 441                  441.0000             441.0000             5431                 3
42a1                 484                  484.0000             30976.0000           5437                 3
42a1                 64                   64.0000              64.0000              5443                 3
42a1                 100                  100.0000             6400.0000            5449                 3
42a1                 144                  144.0000             144.0000             5479                 3
42a1                 121                  121.0000             7744.0000            5503                 3
42a1                 144                  144.0000             576.0000             5521                 3
42a1                 144                  144.0000             576.0000             5527                 3
42a1                 841                  841.0000             841.0000             5557                 3
42a1                 3844                 3844.0000            3844.0000            5563                 3
42a1                 25                   25.0000              6400.0000            5569                 3
42a1                 1                    1.0000               64.0000              5581                 3
42a1                 121                  121.0000             484.0000             5623                 3
42a1                 576                  576.0000             576.0000             5641                 3
42a1                 10609                10609.0000           10609.0000           5647                 3
42a1                 9                    9.0000               576.0000             5653                 3
42a1                 400                  400.0000             1600.0000            5659                 3
42a1                 81                   81.0000              81.0000              5683                 3
42a1                 576                  576.0000             576.0000             5689                 3
42a1                 0                    -0.0000              -0.0000              5701                 3
42a1                 25                   25.0000              6400.0000            5737                 3
42a1                 1089                 1089.0000            1089.0000            5743                 3
42a1                 81                   81.0000              81.0000              5749                 3
42a1                 1936                 1936.0000            1936.0000            5779                 3
42a1                 1                    1.0000               4.0000               5791                 3
42a1                 9                    9.0000               576.0000             5821                 3
42a1                 441                  441.0000             441.0000             5827                 3
42a1                 784                  784.0000             3136.0000            5839                 3
42a1                 121                  121.0000             484.0000             5851                 3
42a1                 121                  121.0000             121.0000             5857                 3
42a1                 2025                 2025.0000            2025.0000            5869                 3
42a1                 8464                 8464.0000            8464.0000            5881                 3
42a1                 81                   81.0000              81.0000              5923                 3
42a1                 784                  784.0000             50176.0000           5953                 3
42a1                 64                   64.0000              4096.0000            6007                 3
42a1                 9                    9.0000               576.0000             6037                 3
42a1                 169                  169.0000             676.0000             6043                 3
42a1                 49                   49.0000              196.0000             6067                 3
42a1                 121                  121.0000             121.0000             6073                 3
42a1                 0                    -0.0000              -0.0000              6079                 3
42a1                 49                   49.0000              12544.0000           6091                 3
42a1                 53361                53361.0000           53361.0000           6121                 3
42a1                 121                  121.0000             7744.0000            6133                 3
42a1                 9                    9.0000               576.0000             6151                 3
42a1                 0                    0.0000               0.0000               6163                 3
42a1                 529                  529.0000             529.0000             6199                 3
42a1                 1                    1.0000               4.0000               6211                 3
42a1                 121                  121.0000             7744.0000            6217                 3
42a1                 625                  625.0000             625.0000             6229                 3
42a1                 256                  256.0000             1024.0000            6247                 3
42a1                 1                    1.0000               256.0000             6271                 3
42a1                 3600                 3600.0000            3600.0000            6277                 3
42a1                 36                   36.0000              9216.0000            6301                 3
42a1                 324                  324.0000             324.0000             6337                 3
42a1                 9                    9.0000               9.0000               6343                 3
42a1                 49                   49.0000              3136.0000            6361                 3
42a1                 3025                 3025.0000            3025.0000            6367                 3
42a1                 1600                 1600.0000            1600.0000            6373                 3
42a1                 25                   25.0000              25.0000              6379                 3
42a1                 225                  225.0000             225.0000             6397                 3
42a1                 9                    9.0000               576.0000             6421                 3
42a1                 196                  196.0000             12544.0000           6427                 3
42a1                 16                   16.0000              1024.0000            6451                 3
42a1                 729                  729.0000             729.0000             6469                 3
42a1                 529                  529.0000             2116.0000            6481                 3
42a1                 22801                22801.0000           22801.0000           6529                 3
42a1                 1225                 1225.0000            1225.0000            6547                 3
42a1                 0                    0.0000               0.0000               6553                 3
42a1                 1369                 1369.0000            1369.0000            6571                 3
42a1                 81                   81.0000              81.0000              6577                 3
42a1                 961                  961.0000             961.0000             6607                 3
42a1                 289                  289.0000             289.0000             6619                 3
42a1                 256                  256.0000             1024.0000            6637                 3
42a1                 16                   16.0000              1024.0000            6661                 3
42a1                 49                   49.0000              3136.0000            6673                 3
42a1                 3600                 3600.0000            230400.0000          6679                 3
42a1                 361                  361.0000             361.0000             6691                 3
42a1                 25                   25.0000              100.0000             6703                 3
42a1                 144                  144.0000             576.0000             6709                 3
42a1                 6561                 6561.0000            6561.0000            6733                 3
42a1                 289                  289.0000             289.0000             6763                 3
42a1                 8649                 8649.0000            8649.0000            6781                 3
42a1                 196                  196.0000             196.0000             6793                 3
42a1                 49                   49.0000              49.0000              6823                 3
42a1                 3721                 3721.0000            3721.0000            6829                 3
42a1                 441                  441.0000             441.0000             6841                 3
42a1                 289                  289.0000             289.0000             6871                 3
42a1                 0                    -0.0000              -0.0000              6883                 3
42a1                 1089                 1089.0000            1089.0000            6907                 3
42a1                 6889                 6889.0000            6889.0000            6949                 3
42a1                 81                   81.0000              5184.0000            6961                 3
42a1                 64                   64.0000              16384.0000           6967                 3
42a1                 784                  784.0000             3136.0000            6991                 3
42a1                 16                   16.0000              1024.0000            6997                 3
42a1                 576                  576.0000             2304.0000            7027                 3
42a1                 7225                 7225.0000            7225.0000            7039                 3
42a1                 2809                 2809.0000            179776.0000          7057                 3
42a1                 1                    1.0000               4.0000               7069                 3
42a1                 12321                12321.0000           12321.0000           7129                 3
42a1                 1600                 1600.0000            1600.0000            7159                 3
42a1                 9                    9.0000               36.0000              7177                 3
42a1                 441                  441.0000             441.0000             7207                 3
42a1                 0                    -0.0000              -0.0000              7213                 3
42a1                 1                    1.0000               4.0000               7219                 3
42a1                 961                  961.0000             961.0000             7237                 3
42a1                 49                   49.0000              49.0000              7243                 3
42a1                 4096                 4096.0000            4096.0000            7297                 3
42a1                 1369                 1369.0000            1369.0000            7309                 3
42a1                 169                  169.0000             10816.0000           7321                 3
42a1                 49                   49.0000              3136.0000            7333                 3
42a1                 9                    9.0000               36.0000              7351                 3
42a1                 9                    9.0000               2304.0000            7369                 3
42a1                 169                  169.0000             676.0000             7393                 3
42a1                 9                    9.0000               9.0000               7411                 3
42a1                 1089                 1089.0000            1089.0000            7417                 3
42a1                 729                  729.0000             729.0000             7459                 3
42a1                 25                   25.0000              25.0000              7477                 3
42a1                 2704                 2704.0000            2704.0000            7489                 3
42a1                 9                    9.0000               36.0000              7507                 3
42a1                 49                   49.0000              3136.0000            7537                 3
42a1                 4761                 4761.0000            4761.0000            7549                 3
42a1                 121                  121.0000             484.0000             7561                 3
42a1                 441                  441.0000             1764.0000            7573                 3
42a1                 1                    1.0000               4.0000               7591                 3
42a1                 21609                21609.0000           21609.0000           7603                 3
42a1                 20736                20736.0000           20736.0000           7621                 3
42a1                 9                    9.0000               2304.0000            7639                 3
42a1                 576                  576.0000             2304.0000            7669                 3
42a1                 1                    1.0000               4.0000               7681                 3
42a1                 256                  256.0000             1024.0000            7687                 3
42a1                 64                   64.0000              4096.0000            7699                 3
42a1                 4                    4.0000               16.0000              7717                 3
42a1                 36                   36.0000              2304.0000            7723                 3
42a1                 0                    -0.0000              -0.0000              7741                 3
42a1                 1849                 1849.0000            118336.0000          7753                 3
42a1                 400                  400.0000             400.0000             7759                 3
42a1                 9801                 9801.0000            9801.0000            7789                 3
42a1                 16                   16.0000              1024.0000            7867                 3
42a1                 169                  169.0000             10816.0000           7873                 3
42a1                 144                  144.0000             144.0000             7879                 3
