Data for fields of degree 3 of conductor < 10000 with curves having conductor between 11 and 11
Curve label          ZZ(#Sha(E/K))        #Sha(E/K)            ell_chi              Field conductor      Field degree        
11a1                 625                  625.0000             625.0000             4969                 3
11a1                 7225                 7225.0000            7225.0000            4987                 3
11a1                 38025                38025.0000           38025.0000           4993                 3
11a1                 87025                87025.0000           87025.0000           4999                 3
11a1                 13225                13225.0000           13225.0000           5011                 3
11a1                 7921                 7921.0000            198024.9997          5023                 3
11a1                 4900                 4900.0000            4900.0000            5059                 3
11a1                 5625                 5625.0000            5625.0000            5077                 3
11a1                 2025                 2025.0000            2025.0000            5101                 3
11a1                 1369                 1369.0000            34224.9999           5107                 3
11a1                 0                    -0.0000              -0.0000              5113                 3
11a1                 5041                 5041.0000            126024.9998          5119                 3
11a1                 2500                 2500.0000            2500.0000            5167                 3
11a1                 49                   49.0000              1225.0000            5179                 3
11a1                 225                  225.0000             225.0000             5197                 3
11a1                 625                  625.0000             625.0000             5209                 3
11a1                 121                  121.0000             3025.0000            5227                 3
11a1                 49                   49.0000              1225.0000            5233                 3
11a1                 3481                 3481.0000            87025.0000           5281                 3
11a1                 900                  900.0000             900.0000             5323                 3
11a1                 225                  225.0000             225.0000             5347                 3
11a1                 1369                 1369.0000            34225.0000           5407                 3
11a1                 144                  144.0000             3600.0000            5413                 3
11a1                 625                  625.0000             625.0000             5419                 3
11a1                 36100                36100.0000           36100.0000           5431                 3
11a1                 25                   25.0000              25.0000              5437                 3
11a1                 196                  196.0000             4900.0000            5443                 3
11a1                 1225                 1225.0000            1225.0000            5449                 3
11a1                 172225               172224.9997          172224.9997          5479                 3
11a1                 1225                 1225.0000            1225.0000            5503                 3
11a1                 25                   25.0000              25.0000              5521                 3
11a1                 900                  900.0000             900.0000             5527                 3
11a1                 70225                70225.0000           70225.0000           5557                 3
11a1                 11025                11025.0000           11025.0000           5563                 3
11a1                 2025                 2025.0000            2025.0000            5569                 3
11a1                 625                  625.0000             625.0000             5581                 3
11a1                 5776                 5776.0000            144400.0000          5623                 3
11a1                 3600                 3600.0000            3600.0000            5641                 3
11a1                 4761                 4761.0000            119025.0000          5647                 3
11a1                 4225                 4225.0000            4225.0000            5653                 3
11a1                 1849                 1849.0000            46225.0000           5659                 3
11a1                 6241                 6241.0000            156025.0000          5683                 3
11a1                 50625                50625.0000           50625.0000           5689                 3
11a1                 6561                 6561.0000            164025.0000          5701                 3
11a1                 25                   25.0000              25.0000              5737                 3
11a1                 846400               846400.0000          846400.0000          5743                 3
11a1                 256                  256.0000             6400.0000            5749                 3
11a1                 1225                 1225.0000            1225.0000            5779                 3
11a1                 32400                32400.0000           32400.0000           5791                 3
11a1                 1                    1.0000               25.0000              5821                 3
11a1                 1024                 1024.0000            25600.0000           5827                 3
11a1                 25                   25.0000              25.0000              5839                 3
11a1                 3600                 3600.0000            3600.0000            5851                 3
11a1                 1600                 1600.0000            1600.0000            5857                 3
11a1                 198025               198025.0000          198025.0000          5869                 3
11a1                 2209                 2209.0000            55225.0000           5881                 3
11a1                 57600                57599.9999           57599.9999           5923                 3
11a1                 676                  676.0000             16900.0000           5953                 3
11a1                 11025                11025.0000           11025.0000           6007                 3
11a1                 4                    4.0000               100.0000             6037                 3
11a1                 15625                15625.0000           15625.0000           6043                 3
11a1                 1849                 1849.0000            46225.0000           6067                 3
11a1                 4096                 4096.0000            102400.0000          6073                 3
11a1                 1225                 1225.0000            1225.0000            6079                 3
11a1                 400                  400.0000             400.0000             6091                 3
11a1                 12100                12100.0000           12100.0000           6121                 3
11a1                 25                   25.0000              25.0000              6133                 3
11a1                 25                   25.0000              25.0000              6151                 3
11a1                 11025                11025.0000           11025.0000           6163                 3
11a1                 39601                39601.0000           990025.0000          6199                 3
11a1                 1                    1.0000               25.0000              6211                 3
11a1                 361                  361.0000             9025.0000            6217                 3
11a1                 57600                57599.9999           57599.9999           6229                 3
11a1                 3721                 3721.0000            93025.0000           6247                 3
11a1                 25                   25.0000              25.0000              6271                 3
11a1                 529                  529.0000             13225.0000           6277                 3
11a1                 100                  100.0000             100.0000             6301                 3
11a1                 5625                 5625.0000            5625.0000            6337                 3
11a1                 119025               119024.9997          119024.9997          6343                 3
11a1                 16                   16.0000              400.0000             6361                 3
11a1                 484                  484.0000             12100.0000           6367                 3
11a1                 16900                16900.0000           16900.0000           6373                 3
11a1                 105625               105624.9998          105624.9998          6379                 3
11a1                 2025                 2025.0000            2025.0000            6397                 3
11a1                 225                  225.0000             225.0000             6421                 3
11a1                 3600                 3600.0000            3600.0000            6427                 3
11a1                 400                  400.0000             400.0000             6451                 3
11a1                 32400                32399.9999           32399.9999           6469                 3
11a1                 7744                 7744.0000            193599.9995          6481                 3
11a1                 390625               390625.0000          390625.0000          6529                 3
11a1                 18225                18225.0000           18225.0000           6547                 3
11a1                 2025                 2025.0000            2025.0000            6553                 3
11a1                 65025                65025.0000           65025.0000           6571                 3
11a1                 3844                 3844.0000            96100.0000           6577                 3
11a1                 169                  169.0000             4225.0000            6607                 3
11a1                 400                  400.0000             400.0000             6619                 3
11a1                 16                   16.0000              400.0000             6637                 3
